num	year	budget	budget_o	order	gp	boxoffice_o	bo	cpi	link	title	poster
16	1958	0.778	0.778	4	FALSE	None	None	28.45	http://en.wikipedia.org/wiki/The_Defiant_Ones	The Defiant Ones	1958-nm-TheDefiantOnes.jpg
363	1958	3	3	1	FALSE	26.355483	26.355483	28.45	http://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof_(film)	Cat on a Hot Tin Roof	1958-nm-CatonaHotTinRoof.jpg
119	1958	3.319355	3.319355	0	TRUE	13.208725	13.208725	28.45	http://en.wikipedia.org/wiki/Gigi_(1958_film)	Gigi	1958-gp-Gigi.jpg
50	1958	None	None	2	FALSE	9	9	28.45	http://en.wikipedia.org/wiki/Auntie_Mame_(film)	Auntie Mame	1958-nm-AuntieMame.jpg
17	1958	None	None	3	FALSE	3.1	3.1	28.45	http://en.wikipedia.org/wiki/Separate_Tables_(film)	Separate Tables	1958-nm-SeparateTables.jpg
456	1957	3	3	0	TRUE	ERR  33.3 million (inU.S.)	ERR  33.3 million (inU.S.)	27.6	http://en.wikipedia.org/wiki/The_Bridge_on_the_River_Kwai	The Bridge on the River Kwai	1957-gp-TheBridgeontheRiverKwai.jpg
116	1957	None	None	4	FALSE	ERR  22.000115 (in U.S.)	ERR  22.000115 (in U.S.)	27.6	http://en.wikipedia.org/wiki/Sayonara	Sayonara	1957-nm-Sayonara.jpg
117	1957	0.34	0.34	3	FALSE	ERR  1.0(rentals) 	ERR  1.0(rentals) 	27.6	http://en.wikipedia.org/wiki/12_Angry_Men_(1957_film)	12 Angry Men	1957-nm-12AngryMen.jpg
309	1957	2.2	2.2	1	FALSE	25.6	25.6	27.6	http://en.wikipedia.org/wiki/Peyton_Place_(film)	Peyton Place	1957-nm-PeytonPlace.jpg
118	1957	3	3	2	FALSE	9	9	27.6	http://en.wikipedia.org/wiki/Witness_for_the_Prosecution_(1957_film)	Witness for the Prosecution	1957-nm-WitnessfortheProsecution.jpg
305	1956	3	3	4	FALSE	ERR  8 million (as of 1960) 	ERR  8 million (as of 1960) 	26.9	http://en.wikipedia.org/wiki/Friendly_Persuasion_(film)	Friendly Persuasion	1956-nm-FriendlyPersuasion.jpg
308	1956	13.5	13.5	1	FALSE	80	80	26.9	http://en.wikipedia.org/wiki/The_Ten_Commandments_(1956_film)	The Ten Commandments	1956-nm-TheTenCommandments.jpg
455	1956	6	6	0	TRUE	42	42	26.9	http://en.wikipedia.org/wiki/Around_the_World_in_80_Days_(1956_film)	Around the World in 80 Days	1956-gp-AroundtheWorldin80Days.jpg
306	1956	5.4	5.4	2	FALSE	35	35	26.9	http://en.wikipedia.org/wiki/Giant_(1956_film)	Giant	1956-nm-Giant.gif
307	1956	4.55	4.55	3	FALSE	21.3	21.3	26.9	http://en.wikipedia.org/wiki/The_King_and_I_(1956_film)	The King and I	1956-nm-TheKingandI.jpg
14	1955	None	None	4	FALSE	ERR Rentals: 6.3(US / Canada)  	ERR Rentals: 6.3(US / Canada)  	27.4	http://en.wikipedia.org/wiki/Picnic_(1955_film)	Picnic	1955-nm-Picnic.jpg
304	1955	None	None	3	FALSE	ERR  8.5 million (US) 	ERR  8.5 million (US) 	27.4	http://en.wikipedia.org/wiki/Mister_Roberts_(1955_film)	Mister Roberts	1955-nm-MisterRoberts.jpg
15	1955	None	None	2	FALSE	ERR  4.2 million (US) 	ERR  4.2 million (US) 	27.4	http://en.wikipedia.org/wiki/The_Rose_Tattoo_(film)	The Rose Tattoo	1955-nm-TheRoseTattoo.jpg
13	1955	1.78	1.78	1	FALSE	ERR  3 million (US in 1955) 	ERR  3 million (US in 1955) 	27.4	http://en.wikipedia.org/wiki/Love_Is_a_Many-Splendored_Thing_(film)	Love Is a Many-Splendored Thing	1955-nm-LoveIsaManySplendoredThing.jpg
378	1955	0.35	0.35	0	TRUE	ERR  2.0 (US/ Canada rentals)  1.5 ( seas rentals) 	ERR  2.0 (US/ Canada rentals)  1.5 ( seas rentals) 	27.4	http://en.wikipedia.org/wiki/Marty_(film)	Marty	1955-gp-Marty.jpg
49	1954	1.7	1.7	4	FALSE	ERR  5 million (US rentals)  	ERR  5 million (US rentals)  	26.8	http://en.wikipedia.org/wiki/Three_Coins_in_the_Fountain_(1954_film)	Three Coins in the Fountain	1954-nm-ThreeCoinsintheFountain.jpg
302	1954	2	2	1	FALSE	21.8	21.8	26.8	http://en.wikipedia.org/wiki/The_Caine_Mutiny_(film)	The Caine Mutiny	1954-nm-TheCaineMutiny.jpg
377	1954	0.91	0.91	0	TRUE	9.6	9.6	26.8	http://en.wikipedia.org/wiki/On_the_Waterfront	On the Waterfront	1954-gp-OntheWaterfront.jpg
